classage;Ain;Aisne;Allier;Alpes.de.Haute.Provence;Hautes.Alpes;Alpes.Maritimes;Ardèche;Ardennes;Ariège;Aube;Aude;Aveyron;Bouches.du.Rhône;Calvados;Cantal;Charente;Charente.Maritime;Cher;Corrèze;Corse.du.Sud;Creuse;Haute.Corse;Côte.d.Or;Côtes.d.Armor;Dordogne;Doubs;Drôme;Eure;Eure.et.Loir;Finistère;Gard;Haute.Garonne;Gers;Gironde;Hérault;Ille.et.Vilaine;Indre;Indre.et.Loire;Isère;Jura;Landes;Loir.et.Cher;Loire;Haute.Loire;Loire.Atlantique;Loiret;Lot;Lot.et.Garonne;Lozère;Maine.et.Loire;Manche;Marne;Haute.Marne;Mayenne;Meurthe.et.Moselle;Meuse;Morbihan;Moselle;Nièvre;Nord;Oise;Orne;Pas.de.Calais;Puy.de.Dôme;Pyrénées.Atlantiques;Hautes.Pyrénées;Pyrénées.Orientales;Bas.Rhin;Haut.Rhin;Rhône;Haute.Saône;Saône.et.Loire;Sarthe;Savoie;Haute.Savoie;Paris;Seine.Maritime;Seine.et.Marne;Yvelines;Deux.Sèvres;Somme;Tarn;Tarn.et.Garonne;Var;Vaucluse;Vendée;Vienne;Haute.Vienne;Vosges;Yonne;Territoire.de.Belfort;Essonne;Hauts.de.Seine;Seine.Saint.Denis;Val.de.Marne;Val.d.Oise
1.[16,20);14908.8;13080;7298.4;3525.6;3129.6;24503.2;6940;6788.8;3180;7455.2;8053.6;5791.2;49816.8;18284;2866.4;7256;13920;6820.8;5509.6;3114.4;2387.2;3496.8;13644.8;13465.6;8532.8;13196;11700;14313.6;10030.4;21368;17237.6;33685.6;3920.8;37073.6;27211.2;26907.2;4844;14971.2;32973.6;5913.6;8336.8;7556;18211.2;5204;34324.8;16246.4;3420.8;7112;1748;20585.6;11458.4;14623.2;3864;7492;19328;4408.8;16752.8;24456.8;4528;71069.6;20788;6741.6;37299.2;14480.8;14720.8;5217.6;10321.6;28244.8;17619.2;47191.2;5261.6;12334.4;14284.8;10104.8;18556.8;44129.6;32175.2;35589.6;36988;8107.2;14684.8;8712.8;5469.6;22783.2;13176.8;13988;10596.8;8174.4;9092;7626.4;3888.8;33627.2;36477.6;39408;33032.8;31995.2
1.[20,25);16256;14734;8047;3755;3198;30344;7145;7692;3459;8950;8438;6235;64035;21208;3036;8999;15719;7867;5809;3832;2562;5294;18148;13429;8595;18092;12859;15125;11155;25875;19194;50310;3846;49871;37358;36099;5036;18348;41058;6458;8752;7681;21868;5219;42187;19549;3551;7907;1901;25244;12341;20356;5199;7920;27625;5415;18529;32184;4989;92956;24014;6854;42825;21745;17615;5937;11328;37812;21335;68012;5637;13258;15466;12141;21733;85448;41063;42747;42591;8507;19023;9210;5694;26796;14601;15443;14444;11328;9806;7601;5226;41882;50807;53586;45287;40577
1.[25,30);17673;15214;7671;3608;3411;28716;7320;7747;3423;8678;8431;6271;57759;19273;3298;9124;14930;7730;5694;4124;2456;5014;16444;13781;8836;17403;12952;16063;11613;24531;18270;47252;3965;45138;32396;31831;4987;17156;36658;6436;9474;7991;20717;5277;40076;18743;3532;7867;1914;22657;12962;18126;5128;7919;23208;5663;18414;33431;4850;85062;24401;6967;44006;19065;17387;5268;10996;34575;21994;62044;6088;13346;14904;12102;24691;102599;38486;42011;41497;9325;17159;8458;6196;26688;14629;16614;12226;9638;9715;8404;4795;39177;57324;55115;46390;38420
1.[30,35);19764;16026;8589;3949;3753;30793;8333;8059;3941;8916;9167;7186;59958;20056;3746;9294;16256;8312;6173;4422;2699;5159;15616;15308;9918;17541;13995;18164;12940;25990;19813;48051;4474;47488;32347;33987;5426;17023;38854;7277;10857;8683;21855;6026;43118;20442;4028;8638;2011;24886;13624;17873;5088;8886;23154;5659;20554;33644;5242;85443;25900;7529;45269;18899;19078;5613;11908;35540;23378;61544;6887;14852;16070;13145;27105;94421;37526;44447;44993;10644;17117;9881;7295;27904;15433;19741;12382;10449;10228;9268;4688;40775;59915;58723;48702;39892
1.[35,40);20865;16261;9427;4314;4103;31437;9408;8443;4413;9186;10063;7652;60495;20344;4206;9910;17234;8386;6797;4513;3059;5392;15902;17119;10859;16734;14612;19394;13776;27605;20741;44097;5105;48831;32028;33997;6338;17941;40168;7576;12180;9723;22542;6900;43856;20820;4712;8940;2242;24983;14069;17689;5067;9393;22326;5731;22167;33111;5630;82753;27320;7796;45901;20019;19987;6016;12418;35207;23975;58708;7319;15696;17352;13851;27231;84191;37111;46935;48592;11330;17716;10790;7865;28590;15589;20536;12593;10800;10844;9894;4593;43192;60837;57396;48455;41503
1.[40,45);24066;18317;11193;5276;4865;35646;11226;9634;5054;10115;12266;9313;67263;22921;4815;11701;20957;10412;7942;5374;3970;6167;18023;19896;13266;18304;16751;21640;15248;31487;24550;45761;6449;53721;36358;36237;7576;20298;44860;9198;13992;11368;25365;8080;47531;22780;5551;10630;2778;26691;16382;19317;5989;10623;24431;6386;25192;36645;6455;86871;30037;9269;49621;22068;23411;7509;14904;39836;27891;59692;8559;18598;19526;15608;29909;79083;41322;50417;51817;12809;19667;12559;8753;33521;18402;22179;13783;12410;12799;11429;5001;44635;57917;55435;48202;40671
1.[45,50);23356;18577;11776;5722;4978;36830;11660;9924;5243;10266;12535;9662;66437;22462;5352;12328;20505;10626;8138;5522;4186;6119;17643;19680;14291;17941;17362;20878;15206;30672;25173;45125;6778;50646;35250;34420;7974;19929;43757;9377;14532;11284;24797;8165;44265;22084;5854;11226;2728;26050;17544;18944;6372;10572;23824;6790;25325;38460;7061;83405;29451;9839;49517;21732;23558;8045;15307;40648;28291;56539;8548;19233;19180;15476;29287;70225;41017;49400;50239;13211;19248;13268;8821;34550;1.90E+04;21954;13843;12179;13283;11748;5017;44904;53481;52284;46255;40282
1.[50,55);20933;18404;11817;5734;5021;34678;11050;10140;5435;10091;11827;9826;62609;21933;5520;12265;20486;11013;8292;5100;4413;5708;17170;19977;14701;16650;16220;20192;14371;31526;24484;40860;6859;47682;32793;31790;7934;19142;39770;8892;13582;11035;23647;7909;42288;21382;6247;11073;2804;25422;18124;18135;6343;10282;23690;6879;25378;38044;7587;81341;27660;9857;49071;21692;22840;7844;14246;38195;26868;51599;8451;19201;18737;14680;25425;63735;40680;45648;46862;13124;18382;12987;8467;33095;17760;21387;13919;12319;13155;11449;4674;41653;46579;47554;42488;39035
1.[55,60);19254;18238;11803;5702;4905;31794;10836;9679;5560;9753;12037;9851;58684;22876;5682;12650;20959;10838;8512;4915;4742;5657;16924;20357;15137;15880;15797;19365;14170;30507;23856;36520;6910;45271;31294;29387;8263;19068;36554;8757;13416;11114;23239;7962;39462;20742;6310;10937;2868;24342;17523;17841;6488;10027;23003;6911;24451;36378;8014;76138;25729;10179;46649;21188;21430;8107;14009;36146;25336;45604;8238;19079;18145;13626;22587;57713;40063;40930;41661;12681;18036;12695;7964;31748;17173;21217;14120;12395;13217;11831;4262;36201;40185;43179;37571;35245
1.[60,65);18247;18150;12859;5826;4827;32007;11529;9460;5845;10301;13054;10254;57364;22511;5916;12982;23664;11298;9055;4873;5128;5754;16781;21753;16352;15970;15870;19175;14142;30237;24531;33274;7359;44980;33243;28244;8685;18706;34348;8820;14168;11644;24038;8300;38660;20652;7210;12038;3007;23585;17536;17729;6575;9716;22142;6815;25616;32509;8771;71992;24321;10797;44961;21561;21450;8328;15193;33051;23949;43730;8716;20167;18234;12964;21292;57169;38266;36905;38149;12523;18244;13033;8284;33882;17771;23106;13742;13142;13576;12598;4558;32020;36989;37057;33333;31021
