classage;effectif
1-[16,20);1538183
1-[20,25);1936222
1-[25,30);1888988
1-[30,35);1975615
1-[35,40);2011713
1-[40,45);2200422
1-[45,50);2172448
1-[50,55);2075818
1-[55,60);1972249
1-[60,65);1940159
1-[65,70);1504761
1-[70,75);1063107
1-[75,80);931865
1-[80,85);707482
1-[85,90);388106
1-[90,95];136640
2-[16,20);1469818
2-[20,25);1902089
2-[25,30);1934418
2-[30,35);2031572
2-[35,40);2033445
2-[40,45);2225120
2-[45,50);2229459
2-[50,55);2163941
2-[55,60);2099728
2-[60,65);2089438
2-[65,70);1659725
2-[70,75);1255326
2-[75,80);1255029
2-[80,85);1130278
2-[85,90);792196
2-[90,95];364785
