nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
ISDND ALLEMANT,02010,Allemant,02320,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
NESTLE - Usine de Boué,02103,Boué,02450,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
Etablissement de Bucy Le Long,02131,Bucy-le-Long,02880,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
GEA WESTALIA SEPARATOR PRODUCTION FRANCE SAS,02168,Château-Thierry,02407,Fabrication d'autres machines d'usage général,,
Greenfield SAS,02168,Château-Thierry,02400,Fabrication de pâte à papier,6.(a),Installations industrielles destinées à la fabrication de pâte à papier à partir du bois ou d'autres matières fibreuses
Société Picardie Régénération,02173,Chauny,02300,Traitement et élimination des déchets dangereux,,
ARKEMA Usine de Chauny,02173,Chauny,02304,Fabrication d'autres produits chimiques organiques de base,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes"
SICA,02173,Chauny,02300,Fabrication d'autres produits chimiques n.c.a.,4.(b).(v),"non-métaux, oxydes métalliques ou autres composés inorganiques, tels que carbure de calcium, silicium, carbure de silicium"
Dow France SAS - Site de Chauny,02173,Chauny,02300,Fabrication d'autres produits chimiques n.c.a.,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
VERALLIA-VAUXROT,02243,Crouy,02880,Fabrication de verre creux,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
DEFTA ESSOMES,02290,Essômes-sur-Marne,02407,Fabrication d'équipements électriques et électroniques automobiles,,
EVERBAL,02299,Évergnicourt,02190,Fabrication de papier et de carton,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
LE CREUSET SAS,02334,Fresnoy-le-Grand,02230,Fabrication d'articles métalliques ménagers,2.(d),Fonderies de métaux ferreux d'une capacité de productionde 20 tonnes par jour
SOPROCOS,02691,Saint-Quentin,02106,Fabrication de parfums et de produits pour la toilette,,
MCD,02363,Guny,02300,Fabrication d'autres articles en caoutchouc,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
CROWN Food France,02408,Laon,02930,Fabrication d'emballages métalliques légers,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
INTERSNACK FRANCE,02514,Montigny-Lengrain,02290,Transformation et conservation de pommes de terre,,
ROQUETTE Frères,02514,Montigny-Lengrain,02290,Fabrication de produits amylacés,,
Ondulys Saint-Quentin,02691,Saint-Quentin,02315,Fabrication de carton ondulé,,
Décapage de l'Aisne,02691,Saint-Quentin,02100,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
TEREOS France,02575,Origny-Sainte-Benoite,02390,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
William Saurin Production,02617,Pouilly-sur-Serre,02270,Fabrication de plats préparés,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
MBK INDUSTRIE,02691,Saint-Quentin,02322,Fabrication de motocycles,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Centre Hospitalier de Saint - Quentin,02691,Saint-Quentin,02321,Activités hospitalières,,
ATEMAX France - Usine de Vénérolles,02779,Vénérolles,02510,Récupération de déchets triés,5.(e),Installations destinées à l'élimination ou à la valorisation de carcasses et de déchets d'animaux d'une capacité de traitement de 10 tonnes par jour
SAICA PAPER FRANCE,02780,Venizel,02200,Fabrication de papier et de carton,6.(a),Installations industrielles destinées à la fabrication de pâte à papier à partir du bois ou d'autres matières fibreuses
SAR,60007,Agnetz,60600,"Fabrication de peintures, vernis, encres et mastics",,
SINIAT,60029,Auneuil,60390,Fabrication d'éléments en plâtre pour la construction,3.(c).(ii),de chaux dans des fours rotatifs d'une capacité de production de 50 tonnes par jour
GIMA - Groupement International de Mécanique Agricole,60057,Beauvais,60000,Fabrication d'autres équipements automobiles,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
BEREZECKI SA,60057,Beauvais,60000,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
VISKASE,60057,Beauvais,60009,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",,
AGCO,60057,Beauvais,60026,Fabrication de machines agricoles et forestières,,
SPONTEX SAS,60057,Beauvais,60026,Commerce de détail d'autres équipements du foyer,,
APSM,60509,Pont-Sainte-Maxence,60723,"Métallurgie du plomb, du zinc ou de l'étain",2.(e).(ii),"destinées à la fusion, y compris l'alliage, de métaux non ferreux et notamment de produits de récupération (affinage, moulage en fonderie, etc.) d'une capacité de fusion de 4 tonnes par jour pour le plomb et le cadmium ou de 20 tonnes par jour pour tous les autres métaux"
