Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees
063.01177;CHARAL;54695037900273;;72302;SABLE-SUR-SARTHE;SARTHE;PAYS-DE-LA-LOIRE;400149.242;2318274.297;151A;Production de viandes de boucherie;;;47.8332999983, -0.333332991422
051.01999;SARL DOUAY Bernard;42042963100013;44 rue d'Ault;80130;BETHENCOURT-SUR-MER;SOMME;PICARDIE;540025;2564975;2561Z;Traitement et revêtement des métaux;;;50.077824225, 1.49989625137
067.02748;VIDOR;94635009700063;;68700;ASPACH-LE-HAUT;HAUT-RHIN;ALSACE;959336;2319628;900B;Enlèvement et traitement des ordures ménagères;;;47.7773922616, 7.13396412249
051.02011;PARICHE;35251483000012;Le Vert Bocage;80200;BOUILLANCOURT-EN-SERY;SOMME;PICARDIE;550390;2550145;2313Z;Fabrication de verre creux;;;49.9456046961, 1.64628790026
065.01820;MPRO;30399676300023;;77290;MITRY-MORY;SEINE-ET-MARNE;ILE-DE-FRANCE;624174.022;2444702.894;268C;Fabrication de produits minéraux non métalliques n.c.a.;;;48.9999999987, 2.66667000841
072.05330;COGNAC GAUTIER;61182039000015;;16140;AIGRE;CHARENTE;POITOU-CHARENTES;419341;2101620;1101Z;Production de boissons alcooliques distillées;;;45.8907514469, 0.00861409817212
051.02130;ACIA AUTOMOTIVE;51080307500025;ZI de Rouval;80600;DOULLENS;SOMME;PICARDIE;601034;2573674;2059Z;Fabrication d'autres produits chimiques n.c.a.;;;50.1587756632, 2.35093221994
065.11220;Station de Compression de Château Landon;54210765102330;;77570;CHATEAU-LANDON;SEINE-ET-MARNE;ILE-DE-FRANCE;627234;2350164;603Z;Transports par conduites;;;48.1500491744, 2.70246269524
29004010;PROTEIS VIANDES;30146600900026;;29380;BANNALEC;FINISTERE;BRETAGNE;149449;2343179;151C;Production de viandes de volailles;;;47.9321450318, -3.69852938702
051.02141;GALVAMETAL;32355314900010;20 Rue Charles De Gaulle;80570;EMBREVILLE;SOMME;PICARDIE;543330;2559525;2561Z;Traitement et revêtement des métaux;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3;50.0292112902, 1.54675905409
75850158;EARL Millet;;;85390;SAINT-MAURICE-LE-GIRARD;VENDEE;PAYS-DE-LA-LOIRE;359511;2187474;012G;Elevage de volailles;;;46.6439816759, -0.805848456627
051.02104;LENNE;32909590500017;;80570;DARGNIES;SOMME;PICARDIE;541725;2561212;286F;Fabrication de serrures et de ferrures;;;50.0442074494, 1.52415082992
051.02385;AMCOR FLEXIBLES FOOD FRANCE;54201590400239;ZI - route de Thennes;80110;MOREUIL;SOMME;PICARDIE;610693.65033106;2531036.0111173;2222Z;Fabrication d'emballages en matières plastiques;9.(c);Installations destinées au traitement de surface de matières -  d'objets ou de produits à l'aide de solvants organiques -  notamment pour les opérations d'apprêt -  d'impression -  de revêtement -  de dégraissage -  d'imperméabilisation -  de collage -  de peinture -  de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an;49.7759019756, 2.484770005
055.00977;Rolland SA;63672054200019;;29411;LANDERNEAU;FINISTERE;BRETAGNE;113198;2403912;293D;Fabrication de matériel agricole;;;48.450330575, -4.24996148157
055.14433;Avilande;39425973300019;;22402;LAMBALLE;COTES-D'ARMOR;BRETAGNE;241672;2396846;900E;Traitements des autres déchets solides;;;48.47092316, -2.51100575975
